name,energy flux (erg/cm2/s for 10-10000 keV),photon flux (ph/cm2/s for 10-10000 keV),t90 (s),best fit model,model parameters
bn130204484,7.511685798280614e-06,8.502548104540658,0.192,plaw,[1.332542]
bn101208203,1.5502618530574295e-06,4.046674749151104,0.192,comp,"[-0.4232284, 562.7034]"
bn130112353,1.5041891246709332e-06,4.804817617279744,2.048,comp,"[-0.7090046, 548.3127]"
bn090305052,3.6726300278351423e-06,6.20595125159901,1.856,comp,"[-0.6253819, 1059.131]"
bn170203486,5.213686617190176e-06,8.2099209284794,0.336,plaw,[1.432628]
bn150912600,1.3261562361910868e-06,4.382206600562455,0.32,comp,"[0.04723212, 351.8633]"
bn180404848,2.134421208514859e-06,13.752811161749328,0.544,plaw,[1.872639]
bn150101641,1.7457584432054703e-06,8.080196006384485,0.08,plaw,[1.760916]
bn080919790,3.2092294302931208e-06,5.532369650601615,0.512,plaw,[1.459679]
bn150320462,1.3190107230701346e-05,17.597607222856897,0.064,comp,"[0.03818452, 901.158]"
bn120629565,4.219170359664678e-06,3.9493063348450863,0.704,plaw,[1.273156]
bn160804968,8.362575045634757e-06,8.958363972294755,0.192,comp,"[-0.9808683, 3011.984]"
bn170305256,2.0446719648145637e-06,11.107752574094874,0.448,comp,"[-0.6310343, 273.189]"
bn170802638,1.1356988454778292e-06,3.1201663171053293,2.24,comp,"[-0.813788, 724.0781]"
bn120410585,2.8672945174693685e-06,6.448417899103565,1.088,comp,"[-0.06644946, 549.7534]"
bn121116459,5.957514845505279e-06,8.152468537650293,0.832,plaw,[1.390417]
bn170111760,3.608032262317789e-06,6.121178598123531,0.832,comp,"[-0.4433696, 910.5951]"
bn090412061,3.845973956115478e-06,4.900087557342759,0.896,plaw,[1.368761]
bn140320092,7.256794741319878e-07,1.0375559948041437,2.304,plaw,[1.403644]
bn110916016,3.7745488217631597e-06,4.089195735983891,1.792,plaw,[1.318989]
bn170818137,3.1768168103301167e-06,9.385120054816497,0.576,plaw,[1.620798]
bn170403583,2.5351330647016996e-06,9.915503029463896,0.48,comp,"[-0.9664587, 543.257]"
bn140518709,7.309912697560368e-06,7.799761910176384,0.704,plaw,[1.314269]
bn150208929,4.848637479841042e-06,5.20353589099845,0.128,plaw,[1.316064]
bn110409179,3.490189415235338e-06,9.516219496334694,0.128,comp,"[-0.292223, 498.3796]"
bn120608489,1.230400682296496e-06,5.175226333656584,0.96,comp,"[-0.6051665, 366.4915]"
bn120415891,2.258940228126828e-06,5.068646190907963,0.96,comp,"[-0.6751804, 804.4412]"
bn100223110,1.0346664688923314e-05,13.179797245244858,0.256,comp,"[-0.1722118, 1042.048]"
bn120817168,1.5488546741769854e-05,24.750610035470167,0.16,comp,"[-0.7940158, 1348.356]"
bn081213173,3.923892244530699e-06,5.7526882414147575,0.256,plaw,[1.411187]
bn180913783,1.8402424106480845e-06,5.99835556505174,0.768,comp,"[-0.6424759, 508.0179]"
bn150810485,9.170136824237572e-06,12.82060238414937,1.28,comp,"[-0.6662983, 1360.985]"
bn130503214,5.939364809242622e-06,7.429944700547691,0.88,plaw,[1.363187]
